symbol,name,in_drag_list,last,avg_vol_20d,avg_dollar_vol_m,trades,win_rate,avg_r,entries_per_month,confidence,profit_per_month_hkd
SPY,State Street SPDR S&P 500 ETF T,False,761.6900024414062,40818080.0,31090.723454853516,36,47.22222222222222,-0.07594444444444447,1.5,可参考,-56.95833333333335
QQQ,"Invesco QQQ Trust, Series 1",False,721.4500122070312,31372910.0,22633.986302470094,28,42.857142857142854,-0.1913214285714285,1.1666666666666667,可参考,-111.60416666666663
IWM,iShares Russell 2000 Index Fund,False,284.1000061035156,20624250.0,5859.349550880432,30,46.666666666666664,0.09733333333333327,1.25,可参考,60.83333333333329
DIA,State Street SPDR Dow Jones Ind,False,515.8800048828125,3312790.0,1709.0021213757325,37,48.648648648648646,0.013270270270270279,1.5416666666666667,可参考,10.229166666666673
XLF,State Street Financial Select S,False,55.86000061035156,30702225.0,1715.026307239151,29,44.827586206896555,-0.08406896551724134,1.2083333333333333,可参考,-50.791666666666636
XLK,State Street Technology Select ,False,189.60000610351562,6492195.0,1230.9202116252136,28,32.142857142857146,-0.2780000000000001,1.1666666666666667,可参考,-162.1666666666667
SMH,VanEck Semiconductor ETF,False,573.0,6487910.0,3717.57243,29,51.724137931034484,0.11951724137931036,1.2083333333333333,可参考,72.20833333333333
JPM,JP Morgan Chase & Co.,False,349.6700134277344,6929755.0,2423.1275239009096,28,42.857142857142854,0.30510714285714285,1.1666666666666667,可参考,177.97916666666666
BAC,Bank of America Corporation,False,57.72999954223633,36033015.0,2080.185939455395,38,44.73684210526316,0.10776315789473685,1.5833333333333333,可参考,85.31250000000001
XOM,ExxonMobil Holdings Corporation,False,163.5399932861328,14807770.0,2421.662606382599,38,47.36842105263158,-0.007289473684210524,1.5833333333333333,可参考,-5.770833333333331
CVX,Chevron Corporation,False,209.50999450683594,9796325.0,2052.4279969371796,29,44.827586206896555,0.0745862068965517,1.2083333333333333,可参考,45.06249999999999
WMT,Walmart Inc.,False,106.7300033569336,25374970.0,2708.2706332820894,31,29.032258064516128,-0.454225806451613,1.2916666666666667,可参考,-293.35416666666674
COST,Costco Wholesale Corporation,False,895.3099975585938,2095350.0,1875.9878033843995,30,33.333333333333336,-0.35753333333333337,1.25,可参考,-223.45833333333334
HD,"Home Depot, Inc. (The)",False,299.9800109863281,3926830.0,1177.9705065414428,24,41.666666666666664,-0.06262499999999997,1.0,可参考,-31.312499999999986
DIS,Walt Disney Company (The),False,102.66999816894531,8351045.0,857.40177485878,18,44.44444444444444,0.010388888888888868,0.75,可参考,3.895833333333325
BA,Boeing Company (The),False,198.1999969482422,5903315.0,1170.0370149845123,19,36.8421052631579,-0.2658421052631579,0.7916666666666666,可参考,-105.22916666666667
CAT,"Caterpillar, Inc.",False,808.989990234375,2384250.0,1928.8343842163085,25,48.0,0.14288,1.0416666666666667,可参考,74.41666666666667
CRM,"Salesforce, Inc.",False,237.9199981689453,16782745.0,3992.950659669876,25,40.0,-0.11699999999999995,1.0416666666666667,可参考,-60.93749999999998
NOW,"ServiceNow, Inc.",False,135.47000122070312,15663120.0,2121.8828855200195,27,33.333333333333336,-0.24770370370370376,1.125,可参考,-139.33333333333337
SHOP,Shopify Inc.,False,128.5,7951890.0,1021.817865,35,45.714285714285715,0.21028571428571427,1.4583333333333333,可参考,153.33333333333331
SNOW,Snowflake Inc.,False,332.42999267578125,5539930.0,1841.6388893243409,28,35.714285714285715,-0.22428571428571434,1.1666666666666667,可参考,-130.83333333333334
UBER,"Uber Technologies, Inc.",False,70.5,17582595.0,1239.5729475,29,44.827586206896555,-0.02534482758620688,1.2083333333333333,可参考,-15.312499999999988
ABNB,"Airbnb, Inc.",False,166.22000122070312,4542805.0,755.1050526454162,26,42.30769230769231,-0.0226153846153846,1.0833333333333333,可参考,-12.249999999999993
SQ,,False,,,,0,,,0.0,样本不足,
SOFI,"SoFi Technologies, Inc.",False,16.959999084472656,39725470.0,673.743934830246,30,30.0,-0.2994666666666667,1.25,可参考,-187.1666666666667
ARM,Arm Holdings plc,False,275.6099853515625,4072810.0,1122.5071044396973,29,62.06896551724138,0.4911379310344828,1.2083333333333333,可参考,296.7291666666667
TSM,Taiwan Semiconductor Manufactur,False,434.6700134277344,9798520.0,4259.1228199719235,37,45.945945945945944,0.09259459459459457,1.5416666666666667,可参考,71.37499999999999
ASML,ASML Holding N.V. - New York Re,False,1679.9200439453125,1256500.0,2110.819535217285,39,51.282051282051285,0.14469230769230768,1.625,可参考,117.56249999999999
LLY,Eli Lilly and Company,False,1152.9300537109375,2374140.0,2737.2173577172853,24,29.166666666666668,-0.3212916666666667,1.0,可参考,-160.64583333333334
UNH,UnitedHealth Group Incorporated,False,376.8999938964844,4950310.0,1865.7718087857056,18,55.55555555555556,0.3886111111111111,0.75,可参考,145.72916666666666
JNJ,Johnson & Johnson,False,269.989990234375,6521510.0,1760.742421213379,25,36.0,-0.19656,1.0416666666666667,可参考,-102.37500000000001
PG,Procter & Gamble Company (The),False,146.38999938964844,8590120.0,1257.507661557007,26,42.30769230769231,-0.12138461538461537,1.0833333333333333,可参考,-65.74999999999999
KO,Coca-Cola Company (The),False,88.25,15678775.0,1383.65189375,29,44.827586206896555,-0.08258620689655174,1.2083333333333333,可参考,-49.89583333333334
PEP,"Pepsico, Inc.",False,129.75,8612985.0,1117.53480375,23,39.130434782608695,-0.05839130434782613,0.9583333333333334,可参考,-27.979166666666686
NKE,"Nike, Inc.",False,35.5099983215332,30334250.0,1077.1691665849685,23,30.434782608695652,-0.19478260869565214,0.9583333333333334,可参考,-93.33333333333331
