symbol,trades,months,entries_per_month,win_rate,avg_r,total_r,profitable_month_pct,median_profit_month_hkd,profit_per_month_hkd,confidence,confidence_tag,tier
GOOGL,31,24,1.2916666666666667,54.83870967741935,0.28564516129032247,8.854999999999997,45.83333333333333,0.0,184.4791666666666,可参考,ok,A
NVDA,34,24,1.4166666666666667,32.35294117647059,-0.3092352941176471,-10.514000000000001,29.166666666666668,-39.000000000000036,-219.0416666666667,可参考,ok,B
MSFT,21,24,0.875,33.333333333333336,-0.2867142857142858,-6.021000000000002,16.666666666666664,0.0,-125.43750000000004,可参考,ok,B
TSLA,19,24,0.7916666666666666,31.57894736842105,-0.3659473684210527,-6.953000000000001,12.5,0.0,-144.85416666666669,可参考,ok,B
META,18,24,0.75,27.77777777777778,-0.3816111111111111,-6.869,20.833333333333336,0.0,-143.10416666666666,可参考,ok,B
SNDK,23,24,0.9583333333333334,60.869565217391305,0.36995652173913046,8.509,37.5,0.0,177.27083333333334,可参考,ok,A
MU,21,24,0.875,52.38095238095238,0.33257142857142863,6.984000000000001,33.33333333333333,0.0,145.50000000000003,可参考,ok,A
INTC,27,24,1.125,44.44444444444444,0.07540740740740744,2.036000000000001,37.5,0.0,42.416666666666686,可参考,ok,B
ORCL,21,24,0.875,42.857142857142854,0.12166666666666671,2.555000000000001,37.5,0.0,53.229166666666686,可参考,ok,B
AMD,23,24,0.9583333333333334,47.82608695652174,0.1728695652173913,3.976,37.5,0.0,82.83333333333333,可参考,ok,A
AAPL,28,24,1.1666666666666667,46.42857142857143,0.1923928571428571,5.386999999999999,45.83333333333333,0.0,112.22916666666664,可参考,ok,A
AMZN,27,24,1.125,29.62962962962963,-0.36514814814814806,-9.858999999999998,25.0,0.0,-205.3958333333333,可参考,ok,B
SMCI,21,24,0.875,42.857142857142854,0.1097619047619048,2.3050000000000006,33.33333333333333,0.0,48.02083333333334,可参考,ok,B
IONQ,16,24,0.6666666666666666,37.5,-0.12912499999999993,-2.065999999999999,25.0,0.0,-43.04166666666665,可参考,ok,B
RGTI,18,24,0.75,44.44444444444444,0.002888888888888904,0.05200000000000027,20.833333333333336,0.0,1.083333333333339,可参考,ok,B
QUBT,12,24,0.5,41.666666666666664,0.004916666666666662,0.05899999999999994,16.666666666666664,0.0,1.2291666666666654,可参考,ok,B
ONDS,15,24,0.625,40.0,-0.13293333333333332,-1.9939999999999998,16.666666666666664,0.0,-41.541666666666664,可参考,ok,B
QCOM,31,24,1.2916666666666667,45.16129032258065,-0.03664516129032257,-1.1359999999999997,25.0,0.0,-23.66666666666666,可参考,ok,B
WDC,28,24,1.1666666666666667,57.142857142857146,0.34085714285714275,9.543999999999997,45.83333333333333,0.0,198.83333333333326,可参考,ok,A
LITE,29,24,1.2083333333333333,55.172413793103445,0.3977931034482759,11.536000000000001,41.66666666666667,0.0,240.33333333333337,可参考,ok,A
VRT,24,24,1.0,45.833333333333336,0.24691666666666667,5.926,37.5,0.0,123.45833333333333,可参考,ok,A
CRWV,17,24,0.7083333333333334,17.647058823529413,-0.5854705882352941,-9.953,8.333333333333332,0.0,-207.35416666666666,可参考,ok,B
MUR,25,24,1.0416666666666667,44.0,0.05111999999999999,1.2779999999999998,33.33333333333333,0.0,26.624999999999996,可参考,ok,B
NFLX,20,24,0.8333333333333334,45.0,-0.03995000000000003,-0.7990000000000006,20.833333333333336,0.0,-16.645833333333346,可参考,ok,B
NBIS,22,24,0.9166666666666666,40.90909090909091,-0.07240909090909092,-1.5930000000000002,25.0,0.0,-33.18750000000001,可参考,ok,B
UNH,18,24,0.75,55.55555555555556,0.38855555555555543,6.993999999999998,37.5,0.0,145.7083333333333,可参考,ok,A
PLTR,28,24,1.1666666666666667,46.42857142857143,0.11203571428571424,3.1369999999999987,37.5,0.0,65.35416666666664,可参考,ok,A
RXRX,23,24,0.9583333333333334,52.17391304347826,0.23456521739130434,5.395,37.5,0.0,112.39583333333333,可参考,ok,A
SMR,14,24,0.5833333333333334,57.142857142857146,0.38485714285714295,5.388000000000002,33.33333333333333,0.0,112.25000000000004,可参考,ok,A
BE,29,24,1.2083333333333333,44.827586206896555,0.08637931034482758,2.505,37.5,0.0,52.1875,可参考,ok,B
COHR,38,24,1.5833333333333333,57.89473684210526,0.3876052631578946,14.728999999999996,45.83333333333333,0.0,306.8541666666666,可参考,ok,A
QQQ,28,24,1.1666666666666667,42.857142857142854,-0.19096428571428567,-5.346999999999999,29.166666666666668,0.0,-111.39583333333331,可参考,ok,B
SOXX,29,24,1.2083333333333333,31.03448275862069,-0.3370689655172414,-9.775,20.833333333333336,-11.000000000000048,-203.64583333333334,可参考,ok,B
SPCX,0,0,0.0,,,0.0,,,,样本不足,insuff,B
RKLB,19,24,0.7916666666666666,52.63157894736842,0.1548421052631579,2.942,25.0,0.0,61.291666666666664,可参考,ok,A
WMT,30,24,1.25,30.0,-0.4293666666666667,-12.881,8.333333333333332,-72.49999999999996,-268.3541666666667,可参考,ok,B
DELL,28,24,1.1666666666666667,42.857142857142854,0.023071428571428545,0.6459999999999992,29.166666666666668,0.0,13.458333333333316,可参考,ok,B
