代码,trades,months,entries_per_month,win_rate,avg_r,total_r,profitable_month_pct,median_profit_month_hkd,profit_per_month_hkd,confidence,confidence_tag
MU,21,24,0.875,52.38095238095238,0.3325238095238096,6.983000000000001,33.33333333333333,0.0,145.4791666666667,可参考,ok
SNDK,23,24,0.9583333333333334,60.869565217391305,0.36995652173913046,8.509,37.5,0.0,177.27083333333334,可参考,ok
AAPL,27,24,1.125,48.148148148148145,0.2415555555555555,6.5219999999999985,45.83333333333333,0.0,135.87499999999997,可参考,ok
MSFT,22,24,0.9166666666666666,31.818181818181817,-0.3273181818181819,-7.201000000000001,16.666666666666664,0.0,-150.02083333333337,可参考,ok
NVDA,33,24,1.375,33.333333333333336,-0.2853939393939394,-9.418000000000001,29.166666666666668,0.0,-196.20833333333337,可参考,ok
GOOGL,31,24,1.2916666666666667,54.83870967741935,0.28583870967741926,8.860999999999997,45.83333333333333,0.0,184.6041666666666,可参考,ok
AMZN,28,24,1.1666666666666667,28.571428571428573,-0.39253571428571415,-10.990999999999996,25.0,0.0,-228.9791666666666,可参考,ok
META,18,24,0.75,27.77777777777778,-0.3816666666666666,-6.869999999999999,20.833333333333336,0.0,-143.12499999999997,可参考,ok
TSLA,19,24,0.7916666666666666,31.57894736842105,-0.3659473684210527,-6.953000000000001,12.5,0.0,-144.85416666666669,可参考,ok
AMD,23,24,0.9583333333333334,47.82608695652174,0.1728695652173913,3.976,37.5,0.0,82.83333333333333,可参考,ok
QCOM,31,24,1.2916666666666667,45.16129032258065,-0.03664516129032257,-1.1359999999999997,25.0,0.0,-23.66666666666666,可参考,ok
ORCL,20,24,0.8333333333333334,40.0,0.06410000000000006,1.2820000000000011,33.33333333333333,0.0,26.708333333333357,可参考,ok
VRT,24,24,1.0,45.833333333333336,0.24708333333333332,5.93,37.5,0.0,123.54166666666667,可参考,ok
SMCI,21,24,0.875,42.857142857142854,0.14500000000000002,3.0450000000000004,33.33333333333333,0.0,63.43750000000001,可参考,ok
NFLX,21,24,0.875,42.857142857142854,-0.09376190476190477,-1.969,20.833333333333336,0.0,-41.020833333333336,可参考,ok
IONQ,18,24,0.75,44.44444444444444,0.018055555555555578,0.3250000000000004,29.166666666666668,0.0,6.770833333333342,可参考,ok
RGTI,18,24,0.75,44.44444444444444,0.002888888888888904,0.05200000000000027,20.833333333333336,0.0,1.083333333333339,可参考,ok
ONDS,15,24,0.625,40.0,-0.13293333333333332,-1.9939999999999998,16.666666666666664,0.0,-41.541666666666664,可参考,ok
PLTR,29,24,1.2083333333333333,48.275862068965516,0.15696551724137936,4.552000000000001,41.66666666666667,0.0,94.83333333333337,可参考,ok
HOOD,27,24,1.125,59.25925925925926,0.4605185185185185,12.434,45.83333333333333,0.0,259.0416666666667,可参考,ok
AVGO,26,24,1.0833333333333333,30.76923076923077,-0.25261538461538463,-6.5680000000000005,20.833333333333336,0.0,-136.83333333333334,可参考,ok
INTC,26,24,1.0833333333333333,42.30769230769231,0.04084615384615388,1.062000000000001,33.33333333333333,0.0,22.125000000000018,可参考,ok
MRVL,30,24,1.25,60.0,0.4517999999999999,13.553999999999998,41.66666666666667,0.0,282.37499999999994,可参考,ok
APP,22,24,0.9166666666666666,36.36363636363637,-0.16127272727272726,-3.548,20.833333333333336,0.0,-73.91666666666667,可参考,ok
MSTR,16,24,0.6666666666666666,50.0,0.07349999999999998,1.1759999999999997,29.166666666666668,0.0,24.499999999999996,可参考,ok
COIN,18,24,0.75,38.888888888888886,-0.14899999999999997,-2.6819999999999995,20.833333333333336,0.0,-55.87499999999999,可参考,ok
